,Section,option_index,LCC,BC,ID,name,year,yes/no,dcrest,dberm,beta_target,transition_level
0,,,0.0,,,,,,,,,
1,vak 25,75,18137372.562829807,[],3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,10.0,-999,-999
2,vak 26,83,6053276.595051027,[],3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,10.0,-999,-999
3,vak 27,73,2225786.917913926,[],3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,5.0,-999,-999
4,vak 30,81,12397761.500717407,[],3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,5.0,-999,-999
5,vak 29,96,2587843.137281214,[],3,['Grondversterking met stabiliteitsscherm'],0,-999,0.75,0.0,-999,-999
6,vak 28,26,772221.6748856044,[],1,['Grondversterking binnenwaarts'],0,-999,0.75,8.0,-999,-999
7,vak 24,73,3865145.6589526567,[],3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,5.0,-999,-999
8,vak 23,3,735241.1662115701,[],1,['Grondversterking binnenwaarts'],0,-999,0.0,10.0,-999,-999
9,vak 31,8,323753.59150143317,[],1,['Grondversterking binnenwaarts'],0,-999,0.25,0.0,-999,-999
