,Section,option_index,LCC,BC,ID,name,year,yes/no,dcrest,dberm,beta_target,transition_level
0,,,0.0,0.0,,,,,,,,
1,vak 26,2,274509.1299193956,5552.659998683787,1,['Grondversterking binnenwaarts'],0,-999,0.0,5.0,-999,-999
2,vak 25,4,6405446.33832581,298.8886527249099,1,['Grondversterking binnenwaarts'],0,-999,0.0,8.0,-999,-999
3,vak 24,2,419261.7000826574,185.4580179196392,1,['Grondversterking binnenwaarts'],0,-999,0.0,5.0,-999,-999
4,vak 28,17,188208.54895553718,139.99684850644365,1,['Grondversterking binnenwaarts'],20,-999,0.25,0.0,-999,-999
5,vak 29,17,235998.67329058063,139.99684850644365,1,['Grondversterking binnenwaarts'],20,-999,0.25,0.0,-999,-999
6,vak 27,144,1077376.1977380784,135.368189528862,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,0.0,-999,-999
7,vak 28,19,53663.36492042072,123.9212519289706,1,['Grondversterking binnenwaarts'],20,-999,0.25,5.0,-999,-999
8,vak 26,144,1757347.4964475688,107.40443836771215,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,0.0,-999,-999
9,vak 23,2,440498.31546630507,101.71911646300113,1,['Grondversterking binnenwaarts'],0,-999,0.0,5.0,-999,-999
10,vak 26,146,195139.43569243536,97.71187927007519,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,5.0,-999,-999
11,vak 28,35,75649.91659290384,43.23629375944173,1,['Grondversterking binnenwaarts'],20,-999,0.5,5.0,-999,-999
12,vak 29,33,75312.1695376187,43.23629375944173,1,['Grondversterking binnenwaarts'],20,-999,0.5,0.0,-999,-999
13,vak 29,35,313658.33659466374,35.65068803442732,1,['Grondversterking binnenwaarts'],20,-999,0.5,5.0,-999,-999
14,vak 30,144,4421106.295847205,28.072096272891148,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,0.0,-999,-999
15,vak 28,34,255957.91479374666,23.11292846219065,1,['Grondversterking binnenwaarts'],0,-999,0.5,5.0,-999,-999
16,vak 29,34,503794.67685489496,28.70560692345251,1,['Grondversterking binnenwaarts'],0,-999,0.5,5.0,-999,-999
17,vak 25,6,2381334.882554002,15.675229745929393,1,['Grondversterking binnenwaarts'],0,-999,0.0,10.0,-999,-999
18,vak 23,4,176845.71044715837,14.585590230555283,1,['Grondversterking binnenwaarts'],0,-999,0.0,8.0,-999,-999
19,vak 28,36,58153.20376376179,10.264846564785554,1,['Grondversterking binnenwaarts'],0,-999,0.5,8.0,-999,-999
20,vak 25,146,1897254.1355649903,9.995643193870137,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.0,5.0,-999,-999
21,vak 24,4,667510.745017986,7.261634424021827,1,['Grondversterking binnenwaarts'],0,-999,0.0,8.0,-999,-999
22,vak 23,6,117897.14029810671,3.0554517996014847,1,['Grondversterking binnenwaarts'],0,-999,0.0,10.0,-999,-999
23,vak 26,162,631141.0972991912,2.659235901326889,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,5.0,-999,-999
24,vak 30,160,3161092.3498711213,2.659235901326889,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,0.0,-999,-999
25,vak 28,52,140588.7258592341,2.356363924437953,1,['Grondversterking binnenwaarts'],0,-999,0.75,8.0,-999,-999
26,vak 29,50,640716.0462848062,2.356363924437953,1,['Grondversterking binnenwaarts'],0,-999,0.75,5.0,-999,-999
27,vak 31,17,179254.51394509047,2.356363924437953,1,['Grondversterking binnenwaarts'],20,-999,0.25,0.0,-999,-999
28,vak 28,54,38768.8025091748,1.8897228267556787,1,['Grondversterking binnenwaarts'],0,-999,0.75,10.0,-999,-999
29,vak 29,192,818363.2347186496,1.474650862814046,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.75,0.0,-999,-999
30,vak 24,20,919396.9772921063,0.9325770911967342,1,['Grondversterking binnenwaarts'],0,-999,0.25,8.0,-999,-999
31,vak 31,16,144499.0775563427,2.424426365525633,1,['Grondversterking binnenwaarts'],0,-999,0.25,0.0,-999,-999
32,vak 27,160,1293828.9587191115,0.913869490144781,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,0.0,-999,-999
33,vak 23,8,117897.14029810601,0.8886659097754838,1,['Grondversterking binnenwaarts'],0,-999,0.0,12.0,-999,-999
34,vak 27,24,820894.6947020353,0.6655073853769992,1,['Grondversterking binnenwaarts'],0,-999,0.25,12.0,-999,-999
35,vak 26,164,1617083.6614154605,0.5943896887360975,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,8.0,-999,-999
36,vak 23,40,1258961.771071593,0.5090797149151334,1,['Grondversterking binnenwaarts'],0,-999,0.5,12.0,-999,-999
37,vak 24,36,336156.1019224487,0.5090797149151334,1,['Grondversterking binnenwaarts'],0,-999,0.5,8.0,-999,-999
38,vak 25,162,2581153.7563967574,0.5090797149151334,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,5.0,-999,-999
39,vak 26,180,303096.48385415506,0.5090797149151334,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.5,8.0,-999,-999
40,vak 27,40,118716.62716640532,0.5090797149151334,1,['Grondversterking binnenwaarts'],0,-999,0.5,12.0,-999,-999
41,vak 28,70,144545.28745821933,0.5090797149151334,1,['Grondversterking binnenwaarts'],0,-999,1.0,10.0,-999,-999
42,vak 29,208,145409.93706039153,0.5090797149151334,3,['Grondversterking met stabiliteitsscherm'],0,-999,1.0,0.0,-999,-999
43,vak 30,176,2442975.6497201696,0.5090797149151334,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.5,0.0,-999,-999
44,vak 31,32,103829.69176275178,0.5090797149151334,1,['Grondversterking binnenwaarts'],0,-999,0.5,0.0,-999,-999
