,LCC,TR,TC
0,0.0,4221129947.8,4221129947.8
1,274509.1,2705873759.2,2706148268.3
2,6679955.5,794693887.6,801373843.0
3,7099217.2,717069155.6,724168372.8
4,7287425.7,717069155.6,724356581.3
5,7523424.4,655701140.1,663224564.5
6,8600800.6,510034238.1,518635038.6
7,8654464.0,499655546.4,508310010.3
8,10411811.4,311038376.4,321450187.9
9,10852309.8,266259149.6,277111459.4
10,11047449.2,247202798.2,258250247.4
11,11123099.1,247202798.2,258325897.3
12,11198411.3,239674756.9,250873168.1
13,11512069.6,222259809.7,233771879.3
14,15933175.9,98178720.7,114111896.6
15,16189133.8,96004216.6,112193350.4
16,16692928.5,90861559.0,107554487.5
17,19074263.4,53536515.6,72610779.0
18,19251109.1,50957426.7,70208535.8
19,19309262.3,50360564.0,69669826.3
20,21206516.4,31397633.6,52604150.1
21,21874027.2,26550708.0,48424735.2
22,21991924.3,26190502.7,48182427.0
23,22623065.4,25920879.2,48543944.6
24,25784157.8,16106218.4,41890376.1
25,25924746.5,16106218.4,42030964.9
26,26565462.5,16099145.9,42664608.4
27,26744717.1,13727877.1,40472594.1
28,26783485.9,13654617.1,40438103.0
29,27601849.1,12447852.4,40049701.5
30,28521246.1,11457814.6,39979060.6
31,28665745.2,11355080.1,40020825.3
32,29959574.1,10172704.3,40132278.4
33,30077471.3,10067935.9,40145407.1
34,30898365.9,9521636.5,40420002.5
35,32515449.6,8560477.7,41075927.4
36,33774411.4,8331386.6,42105798.0
37,34110567.5,8331386.6,42441954.1
38,36691721.2,8331386.6,45023107.8
39,36994817.7,8185559.7,45180377.4
40,37113534.3,8185559.7,45299094.0
41,37258079.6,8185559.7,45443639.3
42,37403489.6,8144312.0,45547801.5
43,39846465.2,6798435.8,46644901.0
44,39950294.9,4775581.7,44725876.6
45,39989063.7,4756853.9,44745917.7
46,41600737.5,4058342.4,45659079.9
47,41928253.6,3927854.7,45856108.3
48,42017300.0,3906036.4,45923336.4
49,47089302.3,2725404.4,49814706.8
50,47266148.0,2686352.9,49952500.9
51,48432847.4,2428963.0,50861810.5
52,49010903.2,2306972.1,51317875.3
53,49347396.0,2306972.1,51654368.1
54,49694046.5,2306972.1,52001018.6
55,50692771.5,2306972.1,52999743.6
56,51004242.3,2259333.4,53263575.7
57,51152744.1,2259333.4,53412077.6
58,51802847.9,2202876.4,54005724.4
59,52759718.9,2186211.9,54945930.8
60,53366888.6,1467336.5,54834225.1
61,53724033.5,1467336.5,55191369.9
62,53876491.9,1467336.5,55343828.3
63,54531289.6,1433326.0,55964615.6
64,55141799.3,1275192.3,56416991.7
65,55263787.1,1258946.6,56522733.7
66,55830289.0,1199997.6,57030286.5
