Kolom,,Beschrijving
doorsnede,Verplicht,Naam van het dwarsprofiel.
scenario,Verplicht,"Indien er meerdere ondergrondscenario’s zijn, dient hier het scenario ID te worden ingevoerd. Deze moet een nummer zijn."
scenariokans,Verplicht,Conditionele kans op het ondergrondscenario [-]
polderpeil,Optioneel,Polderpeil [m+NAP]
d_wvp,Optioneel,Dikte van het watervoerend pakket [m]
d70,Optioneel,Zeefmaat die 70% (massa) van de zandkorrels van de zandfractie laat passeren [m]
d_cover,Optioneel,Dike van de deklaag [m]
h_exit,Optioneel,Bodemhoogte bij uittredepunt [m+NAP]
r_exit,Optioneel,Dempingsfactor bij uittredepunt [-] (afname van stijghoogte in watervoerend pakket ten gevolge van lek door slappelagenpakket)
l_voor,Optioneel,Kwelweglengte intredepunt tot binnenteen dijk [m]
l_achter,Optioneel,Kwelweglengte binnenteen tot uittredepunt [m]
k,Optioneel,Doorlatendheid van het watervoerend pakket [m/s]
gamma_sat,Optioneel,Verzadigd gewicht van de deklaag [kN/m3]
kwelscherm,Optioneel,"Aanwezigheid kwelscherm. 0 = kwelscherm afwezig, 1 = kwelscherm aanwezig"
dh_exit,Optioneel,Jaarlijkse bodemdaling van het achterland [m/jaar]
beta,Optioneel,"Betrouwbaarheidsindex horend bij het scenario. Alternatief voor semi-probabilistische invoer."
